"Pop","Days","Flowers"
"NYLV",100,0
"NYLV",101,0
"NYLV",102,0
"NYLV",103,0
"NYLV",104,0
"NYLV",105,0
"NYLV",106,0
"NYLV",107,0
"NYLV",108,0
"NYLV",109,0
"NYLV",110,0
"NYLV",111,0
"NYLV",112,0
"NYLV",113,0
"NYLV",114,0
"NYLV",115,0
"NYLV",116,0
"NYLV",117,0
"NYLV",118,0
"NYLV",119,0
"NYLV",120,0
"NYLV",121,0
"NYLV",122,0
"NYLV",123,0
"NYLV",124,0
"NYLV",125,0
"ONDM",0,0
"ONDM",1,0.615384615384615
"ONDM",2,1.23076923076923
"ONDM",3,1.84615384615385
"ONDM",4,2.46153846153846
"ONDM",5,3.07692307692308
"ONDM",6,3.69230769230769
"ONDM",7,4.30769230769231
"ONDM",8,4.92307692307692
"ONDM",9,5.53846153846154
"ONDM",10,6.15384615384615
"ONDM",11,6.76923076923077
"ONDM",12,7.38461538461539
"ONDM",13,8
"ONDM",14,6.4
"ONDM",15,4.8
"ONDM",16,3.2
"ONDM",17,1.6
"ONDM",18,0
"ONDM",19,175.8
"ONDM",20,351.6
"ONDM",21,527.4
"ONDM",22,703.2
"ONDM",23,879
"ONDM",24,734.2
"ONDM",25,589.4
"ONDM",26,444.6
"ONDM",27,299.8
"ONDM",28,155
"ONDM",29,221.8
"ONDM",30,288.6
"ONDM",31,355.4
"ONDM",32,422.2
"ONDM",33,489
"ONDM",34,488.4
"ONDM",35,487.8
"ONDM",36,487.2
"ONDM",37,486.6
"ONDM",38,486
"ONDM",39,388.8
"ONDM",40,291.6
"ONDM",41,194.4
"ONDM",42,97.2
"ONDM",43,0
"ONDM",44,47.8
"ONDM",45,95.6
"ONDM",46,143.4
"ONDM",47,191.2
"ONDM",48,239
"ONDM",49,251
"ONDM",50,263
"ONDM",51,275
"ONDM",52,287
"ONDM",53,299
"ONDM",54,245.6
"ONDM",55,192.2
"ONDM",56,138.8
"ONDM",57,85.4
"ONDM",58,32
"ONDM",59,25.6
"ONDM",60,19.2
"ONDM",61,12.8
"ONDM",62,6.4
"ONDM",63,0
"ONDM",64,0
"ONDM",65,0
"ONDM",66,0
"ONDM",67,0
"ONDM",68,0
"ONDM",69,0
"ONDM",70,0
"ONDM",71,0
"ONDM",72,0
"ONDM",73,0
"ONDM",74,0
"ONDM",75,0
"ONDM",76,0
"ONDM",77,0
"ONDM",78,0
"ONDM",79,0
"ONDM",80,0
"ONDM",81,0
"ONDM",82,0
"ONDM",83,0
"ONDM",84,0
"ONDM",85,0
"ONDM",86,0
"ONDM",87,0
"ONDM",88,0
"ONDM",89,0
"ONDM",90,0
"ONDM",91,0
"ONDM",92,0
"ONDM",93,0
"ONDM",94,0
"ONDM",95,0
"ONDM",96,0
"ONDM",97,0
"ONDM",98,0
"ONDM",99,0
"ONDM",100,0
"ONDM",101,0
"ONDM",102,0
"ONDM",103,0
"ONDM",104,0
"ONDM",105,0
"ONDM",106,0
"ONDM",107,0
"ONDM",108,0
"ONDM",109,0
"ONDM",110,0
"ONDM",111,0
"ONDM",112,0
"ONDM",113,0
"ONDM",114,0
"ONDM",115,0
"ONDM",116,0
"ONDM",117,0
"ONDM",118,0
"ONDM",119,0
"ONDM",120,0
"ONDM",121,0
"ONDM",122,0
"ONDM",123,0
"ONDM",124,0
"ONDM",125,0
"ONTI",0,0
"ONTI",1,0.615384615384615
"ONTI",2,1.23076923076923
"ONTI",3,1.84615384615385
"ONTI",4,2.46153846153846
"ONTI",5,3.07692307692308
"ONTI",6,3.69230769230769
"ONTI",7,4.30769230769231
"ONTI",8,4.92307692307692
"ONTI",9,5.53846153846154
"ONTI",10,6.15384615384615
"ONTI",11,6.76923076923077
"ONTI",12,7.38461538461539
"ONTI",13,8
"ONTI",14,6.4
"ONTI",15,4.8
