Num,Row,Fam,Pop,Lat,Start,End,Duration,Veg,PC1,HinfW,TotFlwr,d0,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60
383,3f,A2,ONTI,48.4789167,11,61,50,97,-1.0678042,1.96,559,2,17,27,64,69,100,117,73,56,34,0,0,0
385,3f,P16,NJHP,41.3128333,23,78,55,142,0.95929144,40.11,5749,2,20,50,122,341,1656,690,1426,930,420,90,2,0
386,3f,L11,NYSC,42.5230556,65,68,3,113,2.61121812,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
387,3f,E7,ONNO,45.4319444,3,50,47,80,-2.0398029,6.27,4,4,0,0,0,0,0,0,0,0,0,0,0,0
388,3f,I7,ONWH,45.49,63,85,22,145,3.42615633,0.31,35,7,7,11,5,5,0,0,0,0,0,0,0,0
390,3f,G6,ONPG,44.5948889,8,61,53,107,-0.9544076,17.77,4482,1,0,0,191,843,1152,1238,602,0,393,62,0,0
391,3f,T10,MDDB,38.7526111,30,74,44,99,0.12073772,14.31,1037,1,0,0,41,114,209,409,232,31,0,0,0,0
392,3f,H13,ONDM,44.4933889,13,63,50,130,0.01424966,94.88,7961,1,35,83,272,0,1278,2196,0,2523,1573,0,0,0
394,4a,I9,ONWH,45.49,17,37,20,85,-1.0611214,2.17,328,11,120,144,53,0,0,0,0,0,0,0,0,0
395,4a,G6,ONPG,44.5948889,11,59,48,120,-0.3965608,27.83,3119,9,153,169,408,516,536,504,513,250,61,0,0,0
397,4a,E20,ONNO,45.4319444,8,43,35,75,-1.8883114,9.68,638,10,90,0,180,141,118,89,10,0,0,0,0,0
399,4a,H5,ONDM,44.4933889,13,61,48,122,-0.2192263,51.47,3983,12,115,469,0,678,1072,982,0,501,154,0,0,0
400,4a,E8,ONNO,45.4319444,11,60,49,110,-0.6884058,37.62,2194,9,73,186,251,165,96,658,444,284,28,0,0,0
402,4a,P10,NJHP,41.3128333,43,71,28,158,2.61589904,40.1,2096,16,393,676,734,250,27,0,0,0,0,0,0,0
403,4a,H18,ONDM,44.4933889,14,64,50,89,-1.1228318,14.15,2132,5,10,30,66,153,565,539,550,200,14,0,0,0
404,4a,B8,ONEC,47.6908056,8,43,35,60,-2.3260788,13.19,957,3,0,100,282,205,157,210,0,0,0,0,0,0
405,4a,S14,NJPT,40.34025,49,NA,NA,134,2.27236791,29.56,2877,8,36,269,531,532,486,332,608,75,0,0,0,0
406,4b,S7,NJPT,40.34025,41,79,38,NA,NA,42.14,2320,24,61,66,780,853,369,137,30,0,0,0,0,0
407,4b,E13,ONNO,45.4319444,9,53,44,112,-0.7490024,14.87,1001,1,48,93,231,0,181,140,164,143,0,0,0,0
408,4b,T10,MDDB,38.7526111,37,85,48,132,1.5002055,6.97,542,6,13,0,35,88,208,137,43,8,4,0,0,0
410,4b,F10,ONRO,45.2627778,23,67,44,155,1.33868985,87.44,7578,2,62,0,370,1246,2314,2064,1492,28,0,0,0,0
411,4b,T6,MDDB,38.7526111,17,79,62,100,-0.623354,58.78,4372,2,32,56,60,83,111,449,411,1271,1062,746,84,5
412,4b,F6,ONRO,45.2627778,28,62,34,100,0.03095664,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
413,4b,E2,ONNO,45.4319444,18,61,43,101,-0.5346867,4.51,429,4,85,88,52,39,56,81,24,0,0,0,0,0
414,4b,H19,ONDM,44.4933889,13,52,39,122,-0.2192263,16.61,526,12,5,69,107,0,104,113,0,108,8,0,0,0
415,4b,F5,ONRO,45.2627778,11,60,49,125,-0.2506384,22.62,2707,3,49,187,206,242,786,508,373,315,38,0,0,0
416,4b,F4,ONRO,45.2627778,21,55,34,117,0.11071353,7.71,159,16,42,21,43,21,12,4,0,0,0,0,0,0
417,4b,B6,ONEC,47.6908056,8,43,35,70,-2.0342339,0,335,10,0,0,182,92,51,0,0,0,0,0,0,0
421,4c,B11,ONEC,47.6908056,16,NA,NA,110,-0.3909918,NA,5,5,0,0,0,0,0,0,0,0,0,0,0,0
422,4c,P3,NJHP,41.3128333,28,67,39,136,1.0815984,19.73,1966,17,6,13,98,484,540,705,103,0,0,0,0,0
